"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-02","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19373.8","","","","1"
"2022-03","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19413.0","","","","1"
"2022-04","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19545.2","","","","1"
"2022-05","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19995.7","","","","1"
"2022-06","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20099.6","","","","1"
"2022-07","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19995.9","","","","1"
"2022-08","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19923.2","","","","1"
"2022-09","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19817.0","","","","1"
"2022-10","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19933.6","","","","1"
"2022-11","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19925.0","","","","1"
"2022-12","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19919.7","","","","1"
"2023-01","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19791.9","","","","1"
"2023-02","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19907.7","","","","1"
"2023-03","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19992.0","","","","1"
"2023-04","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20091.8","","","","1"
"2023-05","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20482.0","","","","1"
